person_id,name,character,role
11478,Carol Cleveland,Mrs. Gregory,ACTOR
11479,Kenneth Colley,Jesus,ACTOR
11482,Neil Innes,A Weedy Samaritan,ACTOR
11480,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR
11481,John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR
11483,Gwen Taylor,Mrs. Big Nose,ACTOR
11484,Sue Jones-Davies,Judith Iscariot,ACTOR
548006,Peter Brett,,ACTOR
11485,John Case,Pilate's Wife,ACTOR
11489,Chris Langham,Alfonso / Giggling Guard,ACTOR
11487,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR
11486,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR
73106,Spike Milligan,Spike,ACTOR
11488,George Harrison,Mr. Papadopolous (uncredited),ACTOR
11475,Terry Jones,,DIRECTOR
6050,Clint Eastwood,Harry,ACTOR
74499,Harry Guardino,Bressler,ACTOR
24045,Reni Santoni,Chico,ACTOR
29250,John Vernon,The Mayor,ACTOR
29225,Andrew Robinson,Killer,ACTOR
63141,John Larch,Chief,ACTOR
28420,John Mitchum,De Georgio,ACTOR
83026,Mae Mercer,Mrs. Russell,ACTOR
83027,Lyn Edgington,Norma,ACTOR
83028,Ruth Kobart,Bus Driver,ACTOR
29253,Woodrow Parfrey,Mr. Jaffe,ACTOR
7250,Josef Sommer,Rothko,ACTOR
83029,William Paterson,Bannerman,ACTOR
44085,James Nolan,Liquor Proprietor,ACTOR
28418,Maurice Argent,Sid Kleinman,ACTOR
83030,Jo De Winter,Miss Willis,ACTOR
642080,Craig Kelly,Sgt. Reineke,ACTOR
24203,Albert Popwell,Bank Robber (uncredited),ACTOR
83031,Joy Carlin,Communications Secretary (uncredited),ACTOR
83032,Bill Couch,Suicide Jumper (uncredited),ACTOR
83033,Diana Davidson,Swimmer (uncredited),ACTOR
6848,Vince Deadrick Sr.,Pedestrian (uncredited),ACTOR
83034,Chuck Dorsett,TV Watcher (uncredited),ACTOR
83035,Al Dunlap,Man in Jaffe's Cafe (uncredited),ACTOR
83036,Larry Duran,(uncredited),ACTOR
63147,George Fargo,Homicide Detective (uncredited),ACTOR
83037,Lois Foraker,Hot Mary (uncredited),ACTOR
29725,Max Gail,Tunnel Hoodlum (uncredited),ACTOR
19846,John Garber,Tunnel Hoodlum (uncredited),ACTOR
37760,Christopher Pray,Tunnel Hoodlum (uncredited),ACTOR
83038,Eddie Garrett,Policeman (uncredited),ACTOR
58911,James W. Gavin,Helicopter Pilot (uncredited),ACTOR
28432,David Gilliam,Homosexual (uncredited),ACTOR
83039,Don Haggerty,Minor Role (uncredited),ACTOR
83040,Scott Hale,Newsman (uncredited),ACTOR
83041,Kate Harper,Underwear Chick (uncredited),ACTOR
83042,Bob Harris,Man in Truck (uncredited),ACTOR
15562,Chuck Hicks,Flower Vendor (uncredited),ACTOR
28171,Raymond Johnson,Big Black Man (uncredited),ACTOR
58618,Richard Lawson,Homosexual (uncredited),ACTOR
83043,Laurie Mock,Third Nude (uncredited),ACTOR
83044,Ann Noland,Hippie Girl (uncredited),ACTOR
83045,Kathleen O'Malley,Lady in Jaffe's Cafe (uncredited),ACTOR
11774,Angela Paton,Homicide Detective (uncredited),ACTOR
83046,Victor Paul,Car Driver (uncredited),ACTOR
27040,Debralee Scott,Ann Mary Deacon (uncredited),ACTOR
56405,Don Siegel,Pedestrian Passing Harry's Car (uncredited),ACTOR
83047,Kristoffer Tabori,Hippie Guy (uncredited),ACTOR
357644,Tony Dario,Police Sergeant (uncredited),ACTOR
1254876,Marc Hertsens,Steve - Doctor (uncredited),ACTOR
1254791,Gordon Chapli,Fireman (uncredited),ACTOR
1254778,Janet Wisely,First Nude (uncredited),ACTOR
1255103,Pamela Tanimura,Bus Kid (uncredited),ACTOR
1254838,Richard Samuelson,Bus Kid (uncredited),ACTOR
1255106,Derek Jue,Bus Kid (uncredited),ACTOR
1255122,Sean Maley,Bus Kid (uncredited),ACTOR
1255589,Diane Darnell,Mayor's Secretary (uncredited),ACTOR
56405,Don Siegel,,DIRECTOR
20837,Warren Beatty,Clyde Barrow,ACTOR
17170,Faye Dunaway,Bonnie Parker,ACTOR
16446,Michael J. Pollard,C. W. Moss,ACTOR
15098,Gene Hackman,Buck Barrow,ACTOR
22346,Estelle Parsons,Blanche,ACTOR
18249,Denver Pyle,Frank Hamer,ACTOR
11347,Dub Taylor,Ivan Moss,ACTOR
22347,Evans Evans,Velma Davis,ACTOR
22345,Gene Wilder,Eugene Grizzard,ACTOR
22348,Mabel Cavitt,Bonnie's mother (uncredited),ACTOR
22349,Patrick Cranshaw,Bank Teller (uncredited),ACTOR
345491,Owen Bush,Policeman (uncredited),ACTOR
22351,Clyde Howdy,Deputy (uncredited),ACTOR
22352,Russ Marker,Bank Guard (uncredited),ACTOR
22354,Ann Palmer,Bonnie's Sister (uncredited),ACTOR
511857,Ken Mayer,Sheriff Smoot (uncredited),ACTOR
22355,Arthur Penn,,DIRECTOR
14989,Brooke Shields,Emmeline,ACTOR
44313,Christopher Atkins,Richard,ACTOR
36764,Leo McKern,Paddy Button,ACTOR
30068,William Daniels,Arthur Lestrange,ACTOR
80677,Jeffrey Kleiser,Lookout,ACTOR
66492,Gus Mercurio,Officer,ACTOR
80678,Elva Josephson,Young Emmeline,ACTOR
80679,Glenn Kohan,Young Richard,ACTOR
80680,Bradley Pryce,Little Paddy,ACTOR
80681,Chad Timmerman,Infant Paddy,ACTOR
80682,Gert Jacoby,Sailor,ACTOR
80683,Alex Hamilton,Sailor,ACTOR
80684,Richard Evanson,Sailor,ACTOR
28692,Randal Kleiser,,DIRECTOR
16024,Gregory Peck,Capt. Keith Mallory,ACTOR
16485,David Niven,Cpl. James Arthur Miller,ACTOR
16350,Anthony Quinn,Col. Andrea Stavros,ACTOR
29175,Stanley Baker,Pvt. 'Butcher' Brown,ACTOR
16352,Anthony Quayle,Maj. Roy Franklin,ACTOR
29176,James Darren,Pvt. Spyros Pappadimos,ACTOR
